state,late_rate,late_rate_pct
AL,0.23002421307506055,23.0
MA,0.18875502008032127,18.88
PI,0.15353535353535352,15.35
CE,0.1467065868263473,14.67
SE,0.1457142857142857,14.57
BA,0.13520710059171598,13.52
RJ,0.129474011826953,12.95
TO,0.125,12.5
ES,0.12001967535661584,12.0
PA,0.12,12.0
MS,0.11328671328671329,11.33
RR,0.10869565217391304,10.87
PB,0.10634328358208955,10.63
RN,0.10515463917525773,10.52
PE,0.10411622276029056,10.41
SC,0.09513335166345889,9.51
GO,0.07920792079207921,7.92
RS,0.0698865715331138,6.99
DF,0.06869158878504673,6.87
MT,0.06615214994487321,6.62
SP,0.05717913093470033,5.72
MG,0.054834550923936395,5.48
PR,0.0487611496531219,4.88
AP,0.04411764705882353,4.41
AM,0.04054054054054054,4.05
AC,0.037037037037037035,3.7
RO,0.02766798418972332,2.77
